_id,type,properties.name,geometry.coordinates[0][0][0],geometry.coordinates[0][0][1],geometry.coordinates[0][1][0],geometry.coordinates[0][1][1],geometry.coordinates[0][2][0],geometry.coordinates[0][2][1],geometry.coordinates[0][3][0],geometry.coordinates[0][3][1],geometry.coordinates[0][4][0],geometry.coordinates[0][4][1],geometry.coordinates[0][5][0],geometry.coordinates[0][5][1],geometry.coordinates[0][6][0],geometry.coordinates[0][6][1],geometry.coordinates[0][7][0],geometry.coordinates[0][7][1],geometry.coordinates[0][8][0],geometry.coordinates[0][8][1],geometry.coordinates[0][9][0],geometry.coordinates[0][9][1],geometry.coordinates[0][10][0],geometry.coordinates[0][10][1],geometry.coordinates[0][11][0],geometry.coordinates[0][11][1],geometry.type,id,properties.Newark
687c3bd0094b01ccb1b4e892,Feature,Queens,-73.75818421360727,40.63041852837637,-73.70937277100333,40.763265798839456,-73.8205918745769,40.79969696155706,-73.91910959259508,40.78720660307894,-73.95907870905064,40.73596894938123,-73.97449646844089,40.70275584601282,-73.93768077275752,40.69771310321465,-73.92611736072642,40.69319487497708,-73.85565427672437,40.64957658384486,-73.85039049851272,40.64292048887995,-73.84337818897181,40.63946186273091,-73.75818421360727,40.63041852837637,Polygon,,
687c3bd0094b01ccb1b4e893,Feature,Chicago,-87.80094611190805,42.2020183046651,-88.31584271462677,42.13019666648188,-88.37156422937942,41.676801049026295,-88.08385760066035,41.43976939732181,-87.43343919397975,41.405349773811395,-87.10695320578603,41.6352429168098,-87.38984993885465,41.62620113212509,-87.6050707327657,41.91656755499562,-87.66310780078655,42.08190085696776,-87.80094611190805,42.2020183046651,,,,,Polygon,,
687c3bd0094b01ccb1b4e894,Feature,Los Angeles,-118.41850493133387,33.750581858941985,-118.34706066011505,33.70161187619172,-118.26856530755916,33.65986237982213,-117.59387153009553,33.375777743412925,-117.66706945795204,33.7679934516389,-117.70954054781816,34.20538760666349,-118.56905245060888,34.36588560617503,-118.59583294305385,34.05046055185586,-118.41850493133387,33.750581858941985,,,,,,,Polygon,,
687c3bd0094b01ccb1b4e895,Feature,San Franscisco,-122.48390869843148,37.81950430557758,-122.52040013446413,37.78851404974043,-122.53135001191562,37.78058129871583,-122.51588259671954,37.57840491699845,-122.34611501270268,37.61668822444456,-122.3798769931908,37.81519047930689,-122.48390869843148,37.81950430557758,,,,,,,,,,,Polygon,,
687c3bd0094b01ccb1b4e896,Feature,San Jose,-122.27968592312914,37.574377070794526,-122.13753391985968,37.335809384319305,-121.95381449624017,37.206499022365435,-121.69021688489212,37.24547661175582,-121.74385327021724,37.4649068024643,-122.13641878127203,37.605562984618544,-122.27968592312914,37.574377070794526,,,,,,,,,,,Polygon,,
687c3bd0094b01ccb1b4e897,Feature,San Diego,-117.12411639084272,32.535492330574485,-116.87647838777937,32.55549085591552,-116.93168051455541,32.87063596019135,-117.25231110806862,32.9701502393752,-117.29501848325427,32.83130042472821,-117.26192926714157,32.677122699816096,-117.23711278035927,32.65274811824264,-117.12411639084272,32.535492330574485,,,,,,,,,Polygon,,
687c3bd0094b01ccb1b4e898,Feature,Dallas,-96.82382662232641,33.01552936832661,-97.07835143243969,32.933408619598595,-97.086502244623,32.8155477441245,-97.07346416000654,32.60273993457271,-96.73884949720014,32.65629594346329,-96.60831493259482,32.726351064657194,-96.60670067216185,32.86627901975169,-96.71612754264768,32.97858351220182,-96.82382662232641,33.01552936832661,,,,,,,Polygon,,
687c3bd0094b01ccb1b4e899,Feature,Fort Worth,-97.08015045453439,32.934023993139235,-97.28732827680496,33.02699609843225,-97.47731936943221,32.9428564524533,-97.57750043426788,32.751125514549415,-97.54853754838072,32.628988618052915,-97.3493448108324,32.514471932760486,-97.07352722913014,32.60223639624073,-97.08015045453439,32.934023993139235,,,,,,,,,Polygon,,
687c3bd0094b01ccb1b4e89a,Feature,Houston,-95.49989625680874,29.94162155242998,-95.58265252498887,29.86654620516441,-95.54416258902057,29.615879422509465,-95.34015162032723,29.5924519844514,-95.16499946335645,29.620890624070825,-95.11107847408852,29.762999844708744,-95.19965350037835,29.951629049076445,-95.33052846142668,29.949961443254963,-95.49989625680874,29.94162155242998,,,,,,,Polygon,,
687c3bd0094b01ccb1b4e89b,Feature,,-73.96090203076551,40.852539530541236,-74.03618497205568,40.89036423077789,-74.17415486064844,40.90038290540025,-74.324010839352,40.70065249932577,-74.19740161849673,40.639222724697504,-74.04533483942745,40.71343854179537,-73.96090203076551,40.852539530541236,,,,,,,,,,,Polygon,19,
